,VRF,WRF,BF_WR,BF_FR
0,1.8832555646113764,2.76474992564672,2.0645212051177597,1.8121859658545647
1,1.406372216419747,1.7838469108688837,1.6311244585619709,1.8949746034019006
2,1.7852549478748405,1.8619257049843927,1.8170636059935465,1.5890029750758816
3,2.026254422627036,2.492450660616071,2.420196791146412,2.670487100325124
4,2.050573679079601,2.1107929351243935,1.9673464224942048,2.96759968250158
5,1.9748418610944933,2.9672750621923085,2.707033538010125,3.033396968739864
6,1.7892567119098188,2.1726311042677695,1.6020852306756703,1.8912307850059555
7,1.6657917799703092,1.8310608487877011,1.5801618329704923,1.54907365312479
8,1.8017599335787455,2.466793043564707,1.9232687154999015,1.9501690970344838
9,1.5310183612389834,2.235077724917309,1.3521938554800608,1.6264380523376953
10,1.4068567057078556,1.5015575127371268,1.7760567865917574,1.6224555552333584
11,1.5089713925682469,1.6370404096853222,1.692399524347076,1.9216204354825916
12,1.73995050532009,1.7643715354744893,2.0340986810691395,2.9082944748238333
13,3.03749014767591,3.6714880606528415,3.2444159181645387,2.81981201479671
14,1.8941363066305423,2.1020328625269626,2.5087391421851195,1.6314848680283767
15,1.8347546023545624,2.1264881427001954,2.4696861854592025,2.3218336213531927
16,1.8935685282533787,2.0043591248351182,1.905340364439923,2.526043944342671
17,1.6114963729584335,1.8829293782640542,1.718614437374335,1.7650400350122866
18,1.7810635229677874,2.1607541144411084,1.9490957027826536,1.9651988620922374
19,2.068704821148825,2.1674194764275834,2.4899372528666786,2.671768282284366
20,1.716257762558405,2.115358285847519,3.0954351162383613,2.0204884053358287
21,1.9040304487184154,2.2285072041897234,2.1156543091268376,1.8189186949674687
22,1.597944597719613,2.0286357555413312,1.727642087863639,1.7341252192779242
23,2.12243683742756,3.414480680441535,2.5057114325912235,2.2836682182780828
24,1.889208200243845,3.451515390048633,1.6012354743721222,1.2164685852449866
25,1.8266431911914507,2.298750544027879,1.7750220970740893,1.630845923495283
26,1.2433281919088492,1.721345344603209,1.288584833897043,2.1341868642236106
27,2.189956328363337,2.625502380103792,2.1152094634523397,2.606681132101315
28,1.567187017030693,2.2250240970072825,2.1430964236386774,1.572360722137596
29,1.534505096318297,2.1750550446372903,1.8107782342843584,1.4369114857877343
30,1.6438479139120228,2.284293638010542,1.823090238686138,1.4341017007651318
31,1.3725342218498837,1.7490196909278062,1.3756851673341284,2.520292434184789
32,1.5246411012845855,1.8280722331197927,1.7935226236591064,1.9965284285536744
33,1.4825246665731673,1.8181438286942817,1.4393322282760832,1.639743263476114
34,1.5703950418794823,1.9379511697938412,2.076433116630991,2.2350193633987736
35,2.1760380968738153,2.5697500709170926,2.324097872401084,3.964922437394312
36,2.569960311749386,2.623896379821164,2.5226176817468144,2.3935009690992923
37,2.2161916224404843,3.242779402795965,2.6493329887456225,1.972208261666327
38,1.4913405976419742,1.9921179708154395,1.5999715954220293,1.4944829862635147
39,1.992454519157876,2.5273859214978462,2.8324519829112016,2.3149754754518272
40,1.8830053382336387,2.4986612478781765,1.8570394311382086,2.154297688067274
41,1.3488608287775439,1.6987157603614869,1.548055904910256,1.9644252710955263
42,1.6143097278565726,2.0295366689960423,1.5313561137076657,1.4414068173972294
43,1.9808059886423497,1.9828024239351563,2.0447906697783007,1.5988099351217528
44,1.9199725572347166,1.8568975599709923,2.1053987948942385,1.8956727858464895
45,1.6348163857210203,2.4344800191100693,1.6584347617551893,1.7028177046505502
46,2.0604773484120935,3.1838683903106935,1.8278334085558399,4.593465460397501
47,2.314739832555015,2.1556451454915124,3.088311150255435,3.163914711276868
48,2.008151596222745,2.221147183662249,1.8215809063050608,1.795663737528561
49,1.9718458342265837,2.377291501439436,2.0811915616289065,1.7533629828937312
