,Rand_FR,Trace_FR,KFCV,SPCV,Test
0,2.439741348958141,2.3905648690539545,1.2932039746463135,1.4454162255819363,7.319046279525102
1,2.3671473407237213,2.3839087280026314,1.4072850481403183,1.550881289220683,2.9533114171188943
2,2.3119072100016616,2.1632111986002163,0.953716996535897,1.0010164331564728,2.4437638399026613
3,2.9017136431251758,2.9695942746197654,1.8760021232430641,2.0085664429498142,1.543728010853019
4,2.373488952221968,2.207309800145739,0.8256381722850008,0.847133754828721,1.3152996088840618
5,2.7450362492393343,2.5443707084441827,1.577081252149345,1.6252496301598083,3.2381256908865836
6,2.4648230748445283,2.5224161492045574,1.294539490205189,1.3536216237073595,1.604983683933082
7,4.071999316908815,3.9377021657547773,2.28040005791689,2.6791796308365488,2.4926422816065004
8,2.487522446409821,2.4562737234788177,1.2141582716439339,1.2921535399401451,1.9505431622063885
9,2.254181993791944,2.2610331078674837,1.0156545020935297,1.0533286497541083,1.9202985934042223
10,2.615384367094035,2.6368702834291153,1.276896756060942,1.3295370623196796,3.0781014409798906
11,2.2169045514096544,2.185658020387899,1.224016883229991,1.2943975748306595,1.8703652112695413
12,2.3718077944529568,2.342277517884591,1.2431828264963536,1.30778894474737,1.3336543394356766
13,2.406741724677061,2.475431118618218,1.128314918648789,1.2649341804875582,2.8129094279757942
14,2.613956269321184,2.6262071693958746,1.2667028004736944,1.2350114226224234,3.0001498616283153
15,3.063886276848224,3.1163418709089576,1.6659939299653979,1.773096163392043,1.5755312472187573
16,2.4923145641220343,2.5509048661115123,1.1867527660574333,1.2294426925546014,2.1444813877993703
17,2.6543757500421545,2.684613405315106,1.5649415101432527,1.6901922180884248,1.8096200000113651
18,2.302426464941583,2.296381487816358,1.0148887715955368,1.0315829377074297,2.367005143279339
19,2.454565795690687,2.427140367311565,1.2977844871782895,1.375101358118182,1.9210170119834384
20,3.2070870882060976,3.0517287047540425,1.7386471006529718,1.9232746816544513,1.8658877030922059
21,3.233904984882542,3.2944832456079403,2.439546910423121,2.8763788901492644,2.182403453667227
22,2.420115259616577,2.3475158949081467,1.2326483150892584,1.299008449787808,4.561851630012095
23,2.5211247819249993,2.345607830431288,1.1961922179901563,1.2773897188943595,2.9550062082504867
24,2.9808057014270553,3.047335156051678,1.9488646184973455,2.093545768162606,2.8269824446713248
25,2.113198746225737,2.04356722366655,0.9084750177298553,0.9020991747187759,1.3678590522961465
26,2.2364536067881886,2.055003301650365,1.0002063483879087,1.0123897693000012,1.984627183756323
27,2.364365098860644,2.393030981182466,1.2035047873964957,1.2656944874600833,2.443861300598354
28,2.5763583877494747,2.487137733469837,1.7508195877430694,1.9019986141534075,1.415587337334288
29,2.385010241409344,2.2177916312083545,1.1136766395619173,1.151116013644465,1.6234389594337821
30,2.582674075310283,2.8874647313752133,1.3554446700269631,1.474498783119902,3.6349091655773162
31,2.5916288620444354,2.8110988779461072,1.465653401843952,1.4036566106939434,2.723038209539093
32,3.0957253324328606,3.091821612129733,2.1601858895498585,2.281129453193359,1.804051700008979
33,2.62334805795948,2.4587181240202463,1.319791679202646,1.3707180286138274,1.5768564210522507
34,2.4700298936560916,2.3522030444098654,1.3451350530253672,1.4485490919496509,1.3965107019597813
35,2.5150071076193465,2.895748842992603,1.4481446630436008,1.5939538476567285,2.239607004782521
36,2.24354935407856,2.5617027313588188,1.0748837496851202,1.1570677991392881,1.8912057801868407
37,2.644860449010926,2.5847726548169385,1.7842784708372377,1.944837525339251,1.6007221578695137
38,2.4675118449170523,2.5044787263387582,1.1450096449014828,1.1591176310765074,3.0248388927371384
39,2.761734396458973,3.018449781958788,1.43436501770968,1.619519966963324,1.6492206364882473
40,2.9015568616177343,2.88851723512087,1.6467873784795148,1.7555877685863757,2.1813854399408363
41,2.9202078246466505,3.0280543248041045,1.4581941361006678,1.5853214136768274,2.912182417919818
42,3.6301134351501845,3.829757797329845,2.5379036716028294,2.8138220542412293,4.779618213294898
43,3.116760982729412,3.020088954022068,1.6037679764251684,1.7171577891122987,2.7893593891299395
44,2.226426728069759,2.578497882039142,1.0217244257282325,1.0824148826471227,1.7507181800254255
45,2.421401943389646,2.4525596791732687,1.2699193857597666,1.350664164438847,2.605125985944653
46,2.3431245691505826,2.4616760923832843,1.2345234176841526,1.251973957189659,1.927451438376144
47,2.7106597030724204,2.715493061461007,1.6245756641704188,1.6836626558015226,1.4707795887236217
48,2.8433711659623766,2.729086378909883,1.5004875575435785,1.5944779471631148,2.8785806243008976
49,2.2793846163595357,2.283959785278913,1.1089718734462422,1.1069217651120882,1.510785700321249
