,Rand,Trace,Test
0,52.37650544328055,50.79764167535859,35.70890240915384
1,63.365319254270105,59.99592368305078,38.121933161979236
2,45.41591258493184,47.71601231432083,39.239649759223916
3,49.90300641719396,51.77496418578262,40.53724969910635
4,64.9720357324742,62.017928875434585,71.07102908539343
5,55.166310304904506,55.96445632817195,69.6071803505207
6,53.64475065043961,52.723534111667554,35.64578021024865
7,67.96562229448035,69.20359813141776,41.944424969099316
8,77.12630674874697,75.318892175519,97.26674620889304
9,70.51931645570271,70.44149762536952,66.6875937861668
10,58.73164820146369,56.62193751268235,59.37398598218475
11,63.899914059137615,61.0327251568402,60.09233381486576
12,47.581821891824,45.78405419827879,32.183738221535975
13,60.84005494460608,59.597171219750884,38.590822927413974
14,47.09502015569286,48.314427208445544,37.4318487753965
15,47.82975229789142,47.94610507621279,47.34006233235115
16,47.12636068641237,46.58170234618539,38.299810210621374
17,42.87682817437723,42.44429459406163,33.96990501297778
18,56.01584170034901,55.57921633096908,41.592415615236796
19,55.63451642465159,58.923648209377085,67.01325727668943
20,52.06359028890582,51.55172765159396,48.227603076450016
21,62.21883845534771,63.247161958890516,71.56691932850329
22,41.761347911746434,41.01111550602924,53.29209035384919
23,48.8540495440413,48.99409916436255,39.90242805047175
24,44.132000995809875,44.17725087750729,52.59217583247253
25,66.3390379584038,61.751753849211276,95.57785681002407
26,53.540322464317235,50.49626991501003,46.905746007669855
27,52.90761755803605,51.34477439106871,48.62582054796277
28,48.94044928916171,48.675234496439806,49.588223238905236
29,50.65696030794173,50.126118544659285,45.90525781911809
30,49.63375755498331,48.88601589320527,51.895542242400985
31,54.85126653334016,57.96281683065753,41.54348908075348
32,52.71979299705666,53.60399376069139,43.98412137406245
33,71.8952963336908,65.41526735498734,67.9568351803599
34,51.50516741240117,52.312233741124764,33.78871134963886
35,56.561100972546306,60.38169445059443,85.45160205832182
36,52.97527364412818,52.98828178323145,54.458703941461366
37,57.588572104565905,59.02224631229528,49.4839090096021
38,56.785878313723174,56.429120981035744,38.74452379691194
39,50.139844820316824,49.49836917832366,58.14443970988009
40,50.30737684774116,48.921554308493,45.57847048555056
41,69.7341101167967,72.03849463809745,68.48229648566908
42,58.529035422488604,57.42179639237451,55.067950456783215
43,55.77445930544716,56.307971647368745,48.10570206082478
44,53.39549860054593,51.98361100705562,42.018843350452705
45,40.68957692898699,40.338644844040346,30.76408664464313
46,54.45273160799758,57.603891644545605,65.31062660704471
47,44.88044004981308,43.36441159374237,37.85181086922119
48,45.721084202048424,43.15853469392467,41.92476014712083
49,52.93341434601908,52.974177260511,44.00784309629544
50,39.615849522032974,38.89804485458908,34.54181790494659
51,64.43644502736181,60.876418810906365,38.83878204421776
52,54.05038726534208,54.753522354944174,35.40371752396405
53,50.25978368877614,50.40340103284548,54.477035532905575
54,45.2995477438308,44.443278124951185,41.094836533663255
55,45.640332101529026,43.81718497592942,84.243595564399
56,48.04785189655303,48.79957518068614,38.70840320192408
57,68.35905725584666,70.34171996793152,62.028441958392
58,45.601103134441615,46.71630594921524,38.54672517384938
59,51.33142554599486,51.4185006566115,58.59035840373699
60,49.30238509597419,50.14226893752559,48.91191716848029
61,49.75834319561864,49.05406359003232,31.559630269282017
62,51.87016881285136,50.99148818397923,51.285657074354866
63,55.72311160856444,55.04269871765854,52.19577548972269
64,52.937057000879676,53.007910108749066,52.587672888509424
65,86.55065573118134,87.02438668043581,91.78086044827023
66,61.13998178961689,64.06399312924168,77.13550778523711
67,63.402514187756516,61.90779216922626,50.099626599502095
68,47.034919716628785,47.892044317933944,50.370872731353735
69,65.45365803855681,66.32435825392197,53.1425415015737
70,49.702205318753315,50.841113346067914,50.79885650798516
71,60.43331612589077,60.85333687020389,41.93999100772933
72,57.64737025214189,58.81957160308236,36.03458416800597
73,68.5395167517094,68.53448949962512,69.15764892485483
74,61.40727658552941,58.15652032568233,76.57416897290521
75,73.06597232493601,74.26499140520647,34.43851346485808
76,47.45397737456666,46.297733844348855,68.09818666057137
77,58.596393836145666,62.063461027868165,63.189943796528425
78,69.9356433536486,69.97076649141152,113.54991998660202
79,62.0689814546219,59.816311153116594,53.797248295549224
80,71.39141576098483,74.44882031224807,52.741629804942626
81,64.09006757181265,67.32725428924162,56.16728282409594
82,54.08708394410114,55.198424599257436,59.84377378414906
83,51.07014114490276,47.47593368505217,70.30329623333694
84,58.247711364833656,58.1527163420028,53.865754849254216
85,56.32483042217091,58.773585292426056,42.49829449411708
86,52.90573527223496,55.09634476675966,42.572208244863226
87,49.93929974138591,48.79453026949243,37.48659375710269
88,50.38768276166341,51.15715983708917,48.361642652603024
89,52.93949690740439,51.02054766632281,60.44611371759927
90,49.746083117845515,50.60794781058465,50.183702001335575
91,45.23476182599415,46.80817352750648,36.282293492758
92,52.28439455155679,53.599517324907,48.20541119222482
93,62.956742826794134,65.35633889835867,35.59181980587681
94,57.04788983004373,61.02815788729673,57.40029257519034
95,68.68432170019287,64.35143713334162,98.45022396563851
96,49.678131657559014,51.73356416041674,38.73054107990452
97,49.468653312291806,49.72370437782213,59.303004781677586
98,49.74876298267573,47.19702048372189,49.52312666743829
99,69.64059053310086,72.20244859885348,58.214020227798514
