,Rand_FR,Trace_FR,KFCV,SPCV,Test
0,2.3654823803255636,2.225786189286819,2.064299386185392,2.143858065628409,2.490279044859444
1,2.263524119176304,2.25669984256384,2.0915036082971583,2.100635189277006,2.946715167621346
2,2.6291437587448416,2.563754431035112,2.051223244226829,2.1153941876340405,2.1001572713924586
3,1.8953342706501026,1.9867244577956096,1.7140823959388403,1.7963349430988749,2.291475804419227
4,2.523968120766626,2.4192231943530254,1.9607461976345668,2.0662817557402473,2.271201566555046
5,2.241570450728391,2.215947344036115,1.8225689279139339,1.8354483121333,2.171255498218077
6,2.585574381583276,2.6074400932651947,1.9122421289906424,1.9134779709689806,2.5216601329566424
7,2.0937027946849334,2.225563057449957,1.860890404965133,1.9140236677950468,2.44655519473933
8,2.3905718879166584,2.436736487660842,1.8095674038920844,1.8375465734426588,2.234855037982495
9,2.3045481331016444,2.3086411230873587,2.133668491078939,2.1744775425958642,2.154465828427934
10,2.884621660123531,2.7364812716981994,2.0847285236226822,2.2021156342620527,2.2974402801736815
11,2.1786298894621163,2.121882517423934,1.7561597021935391,1.7110816227325092,2.2350053101662666
12,2.173151718338297,2.2680101330767974,2.1358001891446436,2.1678128395324427,2.0925986439497937
13,1.7914681337314922,1.9392339077339547,1.4542606710804762,1.4853883244045263,2.1970922210679733
14,2.4217954100334684,2.3512097998856465,2.161991728815414,2.243679163247465,1.708940116713157
15,2.272982118734999,2.3552844039348524,1.917448629258028,1.958463555907421,2.7292681648493446
16,2.142990929741843,2.28660968973164,1.7717137355212174,1.7397496295311303,3.2215293669602882
17,2.3992802256521406,2.3765198844998334,2.0631476801791666,2.0205829772247355,2.397841504828398
18,2.0175106027957,2.040069369780208,1.5185573300222939,1.5464419663591527,2.640650711637187
19,2.4761864375099214,2.435809790642326,1.6410695510744246,1.7227212492906243,1.8623721526688324
20,2.13351709241346,2.106567479126165,1.6389002692444472,1.7361920110186133,2.0329353148357305
21,1.942587555576675,1.962350860090621,1.6489537098994056,1.6765535332054253,2.1766117179816797
22,2.0741714460128824,2.037504393611955,1.6708397301848534,1.735972335107507,1.7009857286992496
23,2.282545761087646,2.379582158675135,1.817755128684471,1.9257934613583771,2.3615948193608802
24,2.833093576782277,2.8169953359491675,2.425246320971902,2.6464588152015875,2.7980497297853133
25,2.4704114914926802,2.4645006865438885,2.041086828469987,2.0487611010733344,2.1468633076811856
26,2.135638249069724,2.0536697304022526,1.84071817227851,2.0328121263678147,2.5552121632294154
27,2.364062134598011,2.159284871232359,1.8599076505233132,1.8965317525684413,2.4234310537965644
28,2.1301681705486804,2.156439892022033,1.9471278403426087,2.036750295295958,2.0356841500395477
29,2.2890343697443067,2.2648468677756246,1.9724361293551458,1.9721730225423393,2.6990459113735694
30,2.1783637170835397,2.1144470616623012,1.9083941204348172,1.9890733950538775,2.354384135576306
31,2.216543225749938,2.320617706633711,2.058445095193404,2.1313570547282805,2.502310130225801
32,2.165892573227249,2.02524458870531,1.6121023218620372,1.6411370469133426,2.0922825978555943
33,2.229103099367882,2.3236837644285364,2.019884330270978,1.9854013666241683,2.3134998647208613
34,2.6594756042435987,2.6392563320890243,2.049081938035037,2.05239127269079,2.4708368217691397
35,2.1304250184504707,2.2250930559151936,1.7219340074317462,1.77027989268786,2.114808390090197
36,2.5116504799900343,2.4388519081888362,1.7633147672467548,1.8639770956830102,2.463939383113734
37,2.140075834590128,2.106302743212036,1.5254018810689904,1.5720432802774091,2.6805732261211914
38,2.149926858764366,2.3247505449807857,2.0868895999845094,2.311273941434181,2.3343754506388312
39,2.0015864314053546,1.9268285609230562,1.9692489949599992,1.9707274480032755,1.9908550043248525
40,2.3713098458360986,2.247297687167242,1.8758345203538003,1.939906334407538,2.522730803291581
41,2.4317051903126554,2.34943752777333,2.023315456527355,2.0847302136575845,2.4828551283681177
42,2.3450451386738487,2.3094110415569777,1.8978516981327935,1.9606704549270997,2.4866383458067305
43,2.640499726857299,2.7207270332847595,2.084196476617285,2.1737627758292044,2.057691702045973
44,2.272520376130048,2.3405215963139545,1.9462714694436247,1.9686822371693864,2.0869654100348636
45,2.2323818167643363,2.2658396345326994,1.9090624352126622,1.9829170083571312,2.3473701298153755
46,2.256535013149896,2.260088520448153,1.8875589123611243,1.9712923732615064,2.595043476605595
47,2.2003866897732407,2.188245013570073,1.6927405596692597,1.7566037744951235,3.0636208057201366
48,2.5028970518832194,2.290682327166298,1.812205530487364,1.9309899665123873,1.775940119997614
49,2.40538573720152,2.262856470437005,1.8156503393881054,1.7682280889903215,2.3714100042807416
