,Rand,Trace,KFCV,SPCV,Test
0,2.377717079580146,2.5016923455684195,2.033495095093245,2.0713119509109075,3.297848873889255
1,2.587791241637357,2.4653239724268654,3.08914977463294,3.6101976423773836,3.2006036993981013
2,4.23262413818074,4.028584711438187,2.772936735475267,3.4294315948752954,4.043597790755682
3,3.273211027138682,3.1736876439485786,2.6504266559821206,2.9368545069340586,2.902237816159788
4,3.4201267153986556,3.4136702783427415,2.8038706366734023,3.566423952118389,2.503948871611565
5,3.944385735140682,4.077450882956626,3.123247528794203,3.1467796654482125,4.552754855335503
6,3.015956407660373,2.9418929057178227,2.9305321388162247,2.9860097133360295,3.0896317023036177
7,2.9562814227566907,2.8635573838932666,1.5784450877127012,1.615445543276629,2.529030928498167
8,2.776847293970632,2.7738337479438826,2.63925667209192,2.80342570557776,3.1696242498186646
9,3.554298872608126,3.4262782410678967,2.478371565200007,2.57404092200544,3.4442208163227486
10,3.6828250916964995,3.504464298751039,3.062777325567882,3.3338631007255595,3.378196160556365
11,2.942577400571316,3.0643530790011324,2.7705201191652327,3.5283096090792325,2.3196475128178573
12,2.8181058100385656,2.8184312325246963,2.5884329981491976,2.7207152362664457,4.079212904124352
13,3.552038597664086,3.4225259227675076,2.517264644174479,2.663117769098089,3.1459917969356708
14,2.677525059241402,2.682077684614202,2.468507052464707,2.7113773360152615,3.619296874781017
15,2.614953940954332,2.5075360089682435,2.434877748804461,2.6189620138278586,3.2802695134848587
16,3.450964998890712,3.4478526669327167,2.372495430630262,2.5205431414359434,4.416373945347686
17,2.9024406915680276,2.9678378484442614,2.448057970374788,2.660957478383483,4.01222991334592
18,3.307257417026851,3.343223858776177,3.3060639668842966,3.9812441914364443,3.2081442868707186
19,2.99319710819085,3.05861511513264,2.6967682839411764,2.9523594699515976,3.709588314812635
20,2.441092762388296,2.3611081678299484,2.6166120115180793,2.8184233342928753,2.935911372250096
21,3.2053445661711812,3.109840085566581,2.305355970276639,2.4984455733109927,3.184203041217217
22,2.877095536864519,2.9555857751952934,2.6667715427093643,2.9955736727123647,2.507576781041855
23,2.561379944291727,2.5075142264354944,2.293634721060364,2.4324757272257265,2.8106393882347382
24,2.9051590751732403,2.8601912957056923,2.8949779840516916,3.0537440498125434,2.809984642777406
25,2.4851938285645523,2.506083413402283,2.6126540892604386,2.913999118621975,3.0364385677771355
26,2.703524706608001,2.892418977277734,2.2929336296886706,2.4468697008544025,2.7592463164114247
27,2.7104881028637298,2.5122885004546034,2.018901483774738,2.1748312141241164,2.6093245555173725
28,2.808920945141821,2.771309988990365,2.2894704812386917,2.364225842402791,3.7343610027693113
29,3.3702562809962937,3.4133268242344372,2.3129087166037916,2.531174840688457,3.4538786360744274
30,2.5906094381994316,2.6174369515215306,1.8301880953964986,2.84978054708366,2.391808727342438
31,3.3531838954704427,3.3568343768125684,2.6691772221557315,3.532488040455534,3.638393070207346
32,2.306130270754771,2.3388101803692205,2.3688587948137423,2.5405149748667957,2.68476615054622
33,3.2503820608866936,3.19045684215804,1.949161548803578,2.6218726355567337,2.571882003342795
34,2.4726869274429597,2.7570339234608467,2.738564217666526,3.7799123616838104,3.4101679456979594
35,2.5723050056890955,2.5231934063623895,2.1365628164522183,2.1294350160951123,2.5593819903601056
36,2.4421728321323473,2.4737594715599567,2.1838144505527284,2.887286591485015,2.1176207866313295
37,2.954550135283324,3.138989753387509,2.754916066353721,3.6162434235056047,4.886405782399359
38,3.0282136976467493,2.8676174820690363,2.5979087718850082,2.854844220351171,3.632619736985924
39,3.6335577562763524,3.5728727984116997,2.469988426363301,2.644776008693988,3.9165874059409425
40,2.901034820927556,2.8426151114127216,1.8166161347970067,2.9525832111651464,2.642226956751681
41,3.3209939926858802,3.2627393383650545,2.8323415666154133,3.439388992571292,2.337933690627589
42,3.4558771162484914,3.5038773059177775,1.9640690879011877,2.096752944705827,3.0259538158328323
43,3.403357867409483,3.4423606877332684,2.3171397228004524,2.3544270569434396,2.772028770586827
44,3.102129811031261,3.104914552448128,2.410793701730706,2.5816439410236627,4.01302784581472
45,2.523867998202836,2.3779535202745996,2.0613160590239774,2.202164810853609,2.7145295201297044
46,2.4985438889391016,2.5732877352475176,1.9785014752077106,2.8400166469241004,1.8593458565648049
47,2.9368989107027237,2.8184220955329504,1.9964991638246246,2.1019754954296075,3.2633045086184964
48,2.1348260630122065,1.9851536834441135,2.0226893636261303,2.632502863581167,1.6798821449031986
49,2.6378823035280083,2.6200798834213943,2.4292834226119027,2.6675533612780766,3.933640860250674
50,3.4952578401442493,3.7668744126271734,2.2533895650043734,2.223231371448984,3.1815430135044727
51,3.1093283301339505,3.0267403474933645,2.5974456373680814,2.7708361708797815,4.785644992398901
52,3.248696230428545,3.466025562006997,2.3026597805191615,2.7752527785371757,3.0162235554070653
53,3.466721699248529,3.407120858432437,2.259874513685927,2.340533495394533,2.8688430875828304
54,2.6317083836327524,2.730904340823677,2.4052715804352363,2.496718611810519,2.646425879361192
55,2.770089184687233,2.814656572811319,2.4173836767520798,2.63971040004595,2.893577547235686
56,3.664396210670002,3.5651038910492923,2.7155037654287035,2.857726797653541,3.3916779855224246
57,3.0907549754230517,3.050791747969986,2.964073295576228,3.593269078266082,3.0664894696291443
58,3.143983531224006,2.991427855790665,1.8918758074600177,2.0767022515814353,2.6699901010745606
59,2.543190846537338,2.6578087847081417,2.5488728085648624,2.7532122013908396,3.2492102420127154
60,3.012814819173893,2.8316861387717274,2.2985337795779492,2.4383285771740377,2.2574296441956614
61,3.0267654598780154,3.131083958570401,2.6514384448616557,2.8659766855597884,2.5084067458880503
62,2.3224937865398347,2.375542868362804,2.0054901573183916,2.5984769507925103,1.8245778210212802
63,2.0859286237028978,1.998089203900674,3.101686421197488,3.8778654984602787,1.7325283554634152
64,2.747385318984938,2.65329434953018,1.8632513049581902,1.9712036841408178,2.5435730138913346
65,2.4690263082649277,2.571881838877149,2.4377633998132486,2.7137951014116783,2.124455824067852
66,2.609110095295094,2.567446103105724,1.7089505441257686,2.3996120997744783,1.8522082199950023
67,2.6349095093181343,2.607102966796345,2.8045864591476244,4.49543272191301,2.651313703824729
68,2.366707753828555,2.270010428047642,2.4587705639573807,2.548799576304701,3.0528221717561683
69,2.748728297972863,2.866231755913349,2.3595548403381206,2.472536902245911,2.5545325640035412
70,3.5920366486786524,3.471123933345173,2.5487642514633038,2.7260192934303475,3.049672310924736
71,2.3842705602637615,2.333402249405144,2.6314483252831353,3.062619340168941,2.2318916960468
72,2.6195876773225577,2.624917734637385,2.7481282996305225,2.887282964798158,3.625292787285588
73,2.2982672301769016,2.272759506136642,2.2069650711207887,2.48463852195495,3.6284109955341823
74,2.378668043581032,2.195807990531266,1.8130629388688857,2.5610088054602236,2.0803587370219194
75,3.1933797139529503,3.3226547419801706,2.665981565979286,3.094897219865559,3.3582691870548067
76,2.9361798243157495,2.936293140097354,2.385068709102198,2.4384155243931747,3.0066773089446177
77,3.3383056063090892,3.246533056335425,2.7634133159820067,3.072640007605992,3.6720609451537487
78,3.157018504761819,3.122209737882277,3.3037145590558596,4.040047399549087,2.5322004870935184
79,3.3283157203283014,3.2625404085013487,1.9655800244312076,2.9071683911746,1.7500857672478825
80,1.9410408372355543,1.9968548640980877,2.6643384723635286,3.1137177288542395,3.701467741782139
81,2.8521183834940724,3.0152269920288703,2.850245910917644,3.65691631301999,2.753123836619627
82,2.5142414943264724,2.5640709614932895,2.5024587421302247,2.8260120140237635,2.4765468584211074
83,3.264759762473646,3.062210163238472,2.8016220087934665,3.0697244874906215,2.498315301517348
