,VRF,RF_FR,BF_WR,BF_FR,BFI_FR
0,13.777548356110458,18.744396837454595,13.938047816204246,15.806201172751107,21.131321028745383
1,15.743248070281489,20.262303629749944,16.124839589324115,19.346499445001047,21.092563991297
2,13.359530087580485,13.446809680004124,13.814073548239636,14.435429522050612,15.447544172660496
3,12.315503603212647,15.319592992056563,12.663194954565688,14.363158300337682,20.728387444448707
4,20.247828423652425,20.077798834804785,20.411562183482047,19.245664876705217,22.29318577883172
5,12.503937877248466,10.005223067304609,13.040436674308143,9.866375091807399,11.393589501022882
6,19.150628270558364,16.092077981022406,19.318331309958246,14.62798571410896,19.849264533237918
7,11.983878906571588,12.98466317661337,11.972801482741481,12.762516255577468,14.964389980176012
8,11.648246734630069,11.227706329438078,11.518746961115063,10.847759966249495,12.048732140840787
9,13.873088409928357,13.239370518349926,14.204299193303788,11.61414866307809,14.300710700485268
10,13.799137786053867,11.674830029327126,13.75565050599014,10.81956933949704,12.867423128441796
11,15.174712005857259,13.256138992436778,15.528643312743904,12.455800095530446,14.600422084227755
12,14.660408589076358,17.532221830005568,14.778911166081981,14.776016362081583,17.7257834405946
13,12.007146851536818,11.184996955227355,12.282302707783082,11.262505469186435,12.245798724871488
14,10.423161335856665,10.786992216701343,10.254191867403595,10.560653374099532,14.620240076800723
15,13.388661328878145,13.758755437328192,13.602378479368728,13.259736955497734,14.868012169476772
16,12.812620378954156,10.681810276523077,12.89401853206679,10.667618499015246,11.362550755267732
17,13.800277434119732,12.055212236772146,14.693958536708548,11.767382787548417,17.769479484328905
18,18.31284839504411,17.516695112977125,18.172189654967678,16.261085509686403,14.506557723727814
19,14.530068573556916,11.565542561432968,14.885115936664603,9.560300847829232,11.937697527565163
20,15.855669617896178,16.09803909673556,16.26166019458704,15.828372617018994,15.5834561012546
21,18.714262722919063,15.120106366378696,19.459061804890826,13.73506531786496,15.416089999915945
22,13.235425555222376,15.10904904774529,13.512821031553928,12.908926796419872,17.933189212558265
23,15.027420967865856,19.884769271928686,14.956837759796883,19.16105265002618,19.192693727272054
24,14.58272718498101,11.77459177050362,14.398218243393398,11.574548002461118,14.046438145057076
25,13.427201660595992,15.656972231553302,13.096448898083157,15.126298266795915,20.002575206010174
26,13.732056915383078,18.59094773105858,13.48524500724267,18.017752691759473,25.332321282304076
27,14.750492670749711,16.074107355374068,15.121294492978723,14.85798827497793,17.09595071395515
28,13.588855555644065,12.574585155154287,13.962483584584401,12.403960882084847,13.883489713007613
29,12.842445452324252,12.526125482726716,12.86816472904905,13.495375459624144,13.260421224146805
30,13.397572840062537,17.62048657587149,13.642264208011659,17.331045703001116,20.51702306548954
31,14.122741469947151,14.19449771163679,13.904993250703546,10.498209394282977,19.134564287149463
32,11.534851347330973,9.562930009842063,11.66698821770558,8.769027437674223,14.779862502091616
33,18.076206883079102,18.688146783115798,18.380931866790327,21.716629827450205,19.033487581602877
34,18.02689210095098,15.184322437582907,18.14855694689256,15.401890780172629,19.405320787637233
35,13.747341703081569,10.687781658296021,13.584722651759423,11.485678919878152,11.397999996593963
36,15.287479547259732,12.348310086170738,15.398090685112434,12.796446234851945,13.61373968646735
37,16.852890625018706,12.983143287067888,17.46561257365976,11.576876225888832,12.600692399940346
38,15.189692749195173,12.91733826271154,15.725747557982242,12.45002571626534,14.618197917011775
39,11.415173605782684,12.033680059879314,11.332716200361766,10.817435992955092,18.95595349661879
40,13.699369328979019,12.457957872937955,13.524066713687763,12.922833549161538,15.050872853055916
41,10.752627756143717,10.827603236733612,10.619359204990653,11.794026597173824,12.048508130532706
42,16.65042679953963,17.591303915064834,16.5834470712169,15.204905200052,18.99756246226898
43,12.142372418069305,11.542994860389253,12.445285819030289,12.346839106189321,18.99233435707629
44,15.126498919261376,17.269974774487014,15.047092747431991,16.7993657560145,17.59039289906751
45,18.044876429523544,14.6186343547521,18.449968954597274,13.153515323368447,14.20126614670536
46,12.415436688878675,12.105327174235304,12.52146648388678,11.863912038622608,11.642264204880826
47,16.48652019817827,13.961276529953816,16.910851176355443,12.521184922536452,15.03018197687691
48,12.34050546716631,13.255251914575865,12.60597685033986,13.444345078968205,17.09870270056238
49,17.948304979327776,19.281677181930288,18.039004186847922,20.011749112329753,25.94653923200261
