,Rand,Trace,KFCV,SPCV,Test
0,3.41820876829587,3.251712164135538,2.325502011995723,2.8872335116941956,2.504128597149985
1,3.7065716159037536,3.5047585204155616,2.3057979078386284,2.483418857399393,2.0911563179804142
2,2.0107518504044397,1.863403038481309,1.9895195676104744,2.121925669336724,2.566055465155717
3,2.622069025007622,2.752048459109769,1.5466544670777977,1.9399181455506607,1.7442159600420744
4,2.707991679323547,2.7128791170617528,2.053782577261572,2.335943984544382,1.8895346543282667
5,2.6302090102877327,2.454194169111245,3.3479160072973615,3.515513256660163,2.4206902523212595
6,3.4452420416894634,3.3901307508591314,2.3349492023725125,2.706480628765349,2.5206809287339604
7,2.5983401773159622,2.5475829524106386,2.0476428889701674,2.3378189264842324,3.0023038103620125
8,1.7479840996242755,1.606558369956009,2.0466988476277934,2.25561113993943,2.3219607653315344
9,2.337349117815829,2.1231441335423527,1.8893986616552305,2.115693142599791,1.6426605892612969
10,2.131994571699845,1.9618600945464957,1.888907806643418,1.9884094702025361,2.1374353113464606
11,3.432869458789593,3.7444076979659497,2.1933678787746347,2.761712146100053,2.2449328277338743
12,3.3343167009402084,3.238339332398619,2.4112763996094286,2.6381665192637227,1.999525697427285
13,2.4107009312038055,2.320829720391174,1.7619134339302984,2.0697586674410537,3.8219773065342255
14,2.7912827199072203,2.4267238441236225,2.1867437210524385,2.389281443338324,2.363410697330591
15,1.8614043042739352,1.7368214146728618,1.916746411300656,1.979824602901799,2.3744658004577777
16,2.472700267214565,2.352009914422435,1.6674081796678013,1.8340686548820202,2.7236248865651125
17,2.3410817124036742,2.418318099692121,1.646075067370288,1.8805599252742027,2.3139823542603337
18,3.2769643450298482,3.35568934636734,2.8557058190272,4.446143367630755,3.240360886453303
19,2.463317021121254,2.261440835299999,2.279589454539141,2.3597872539693636,2.560676814548
20,2.5652367697259,2.3219969067509925,1.5876570873006308,1.6973519406314161,2.9725019296166986
21,2.7388673831106085,2.6167546759906952,1.821570295595087,1.8847307809892413,1.946288243345403
22,2.0101589994229823,1.9315893059780116,1.7762447628932172,1.9350188646643969,2.3431606499847906
23,1.8658259407172597,1.5374613733245583,1.7708954335112188,1.9709875282541194,1.848957108071342
24,1.9150415481491803,1.947584276885764,1.269402358906341,1.3341755969982465,2.0885575964798804
25,2.5564328732996713,2.2874837148534453,1.5033782520027077,1.5914330211298195,2.03866875234165
26,2.8297980641168103,2.485925437440668,1.9344706850767814,2.1694647385708166,2.3505266833422187
27,1.849842909545931,1.9573843710520122,1.7677600598709886,1.9419942414187528,3.0891634274745705
28,2.127476800459289,2.077393904903685,1.57577643877135,1.741891191569834,2.365721698595148
29,2.28593989651938,2.268540620350078,1.529837568675165,1.5742148201520245,1.4348145760871198
30,2.7181459172273423,2.6318393765985184,1.7211032403442157,1.9946562337043425,1.846256960688952
31,3.0813723713071886,3.1650759325739943,2.664363836144532,3.0437792475982794,1.9678386472528109
32,2.1007719215437315,2.066422746917035,1.9459917082028926,2.135534462912063,1.877865548129079
33,2.8054608077799066,2.887735256369234,2.588801647515591,2.6191845244248406,2.457775277201775
34,1.6849723989430199,1.5867216697219482,1.3863248396464711,1.4947353925671605,2.9682299040435742
35,2.446924922123096,2.413589181896269,1.5878725782346874,1.7570813489810828,2.6177596441478284
36,2.664660638770503,2.3659671458734604,2.45074352479595,2.92965325715301,2.1629099596164933
37,3.4014047718327807,3.1966326191173575,2.7331566576115116,3.5258004130822784,2.5079376649428595
38,2.362681185032706,2.184831261480963,2.1069782899703737,2.098410675554338,2.1380249158192526
39,1.775393465413106,1.49701168569792,1.4986672641801424,1.7038115534509763,2.1007687348261213
40,2.3059689857918486,2.3376214644245255,1.7162601307323821,1.8567676982049186,3.379861529819191
41,3.3634815116139203,3.179694253085464,2.6843321998479093,3.080448767228652,3.0848718538256517
42,2.138456169875911,1.937953646950966,1.3038114400134608,1.4836880388864189,1.6865616656564364
43,3.012272222142349,2.744457378067337,2.4729126835107924,2.81351926265032,2.0880625016341745
44,3.3385686834830794,3.1697480749272526,2.3978048893545467,2.624027654709741,2.5192129035277224
45,2.238832763908535,2.197631329633815,2.0426083465983935,2.2377512803235837,1.955972608720397
46,2.743624464474639,2.3770856314649316,1.6045740524498253,1.7121408162334053,2.4715793652149904
47,2.631634264633547,2.723366556897572,2.0220507758929314,2.2119277266291855,2.7494447099030643
48,2.1132543354836533,2.186924474940108,2.205969618056376,2.577050672829886,2.9172432048096244
49,2.056378327491879,2.0572804819434736,1.8973490119271035,2.0593491570862152,1.7577066832353392
50,2.955823153252984,2.874058368216851,2.8275564126916146,3.271794587858693,1.894350535278626
51,3.737562195274025,3.6613747008298207,2.570691916515971,2.729787062833391,3.5714715054838813
52,2.8980530172023027,2.6074230372136653,1.9667916668147576,2.1588413087882574,1.995757823719911
53,2.6742173245067864,2.56606588556608,2.184357040233625,2.4109158585597514,2.1322019379135493
54,2.0371488841498975,1.890101344898163,2.668774495766033,2.986942217605401,2.7369890935118755
55,3.0518773449293275,3.1040615367262117,2.042270078983514,2.198178414551971,2.0135901506874996
56,1.7811078838367667,1.8340405145064034,1.7185449616568338,1.9026317068338536,2.2543400086791947
57,2.525087808548114,2.31580219822372,1.6881326353482957,1.9777838438690405,2.2443703472546814
58,1.8672590150857782,1.9798760828126005,2.328639884328963,2.440057658652731,3.599348665106125
59,3.2361087568289437,3.3382076268980216,2.9119730893051736,4.233673953151772,2.546563493833401
60,2.279938236812453,2.41214167141983,1.7653658215494055,1.9210672181979422,3.7600465919559976
61,2.098854436256966,2.0066398274674833,1.4152011900287262,1.6161235453214964,2.274600277104792
62,2.934576993987177,3.00631750084139,1.9566685141726468,2.171440493053473,2.5900385382811617
63,2.6516179834460436,2.604837454035829,1.5590036953376898,1.737332292747188,2.324322846482538
64,3.044232783301808,2.881020576732459,2.3662207253201704,2.7782942870648215,4.244506086753192
65,3.457921254489002,3.4442471060798376,2.150309771823835,2.5810486528908734,3.1319253579056294
66,3.035687814319207,2.986908186919472,2.751044887711651,3.270673992314343,2.377674593164331
67,3.5140970348497107,3.5847266031741474,2.488914007685186,2.7146424700325005,1.808888014780345
68,2.0060736732600195,1.8826602931962915,2.416505943186609,2.7032634622905887,1.9979811926425939
69,2.017491098811228,1.9184894442272797,2.1711663466987727,2.333471405646357,2.16541341745111
70,2.559164893307027,2.37567924379943,2.2224741455532775,2.4640957229150193,3.4226651458134176
71,2.349542153489029,2.212291388953271,1.5591586320560022,1.6940735657484527,3.1764711154409166
72,1.4672585957590996,1.388811031829573,1.9843298880963736,2.204854505028313,3.3050820755933032
