,Rand_WR,Trace_WR,KFCV,SPCV,Test
0,0.8688750949504699,-10.993521449946812,0.8502351584354176,0.8672387908781847,0.8003873572841513
1,0.7569663049925387,-11.11945855946511,0.681848787815031,0.7144746954948953,0.9408998683257979
2,0.7205635056152397,-11.127549705247976,0.8819200272387144,0.8767450627274307,0.8852855285517156
3,0.947270638583467,-10.945808439128562,0.8881700601394533,0.9101943616478236,0.8239100233840426
4,0.8811040829592187,-10.956049853881387,1.013149189777248,0.9767918483119555,0.7731882070332355
5,0.9319962785067191,-10.937658271173316,0.6637892142227746,0.6607622761502603,0.9147556044292695
6,1.1287933659516869,-10.746607550225802,0.7423598577239001,0.7252000241039263,0.9421362350819097
7,0.8018160847883583,-11.046200137125927,0.9946781326794104,1.0141470480516288,0.7585704249408347
8,0.9586949482301433,-10.905181425432772,0.8147471781972527,0.8528987402120676,1.027152105384367
9,1.022021889033451,-10.842120673564139,0.6156071467966532,0.5973829749992919,1.0637056650526322
10,0.9592494229360718,-10.879228109623943,0.8959499014784027,0.8955707764598634,0.9212194610546073
11,1.0167349815605127,-10.81638087737305,0.8177734161374509,0.8138068742142455,0.9759722928143304
12,0.8171326977337913,-11.022299208199474,0.9148337563107493,0.9035724746475923,0.8801514759724677
13,0.8309253762639675,-11.051374500944519,0.8515755930885829,0.8547200878525352,1.0955060747627416
14,0.9222543319733749,-10.957313135100343,0.787201499435562,0.7656022504204832,0.845808659819625
15,0.919270901444292,-10.95743883503324,0.7907044017744471,0.7740898681708513,1.0111935436039672
16,1.1192649440966216,-10.740275231479053,0.828514009156516,0.8224852235167612,1.0122483811304746
17,0.8658373758148749,-10.978709616623574,0.8652410470187435,0.844465758670809,0.7117233476035377
18,0.8495302055753856,-10.999127810153022,0.9092611576180694,0.9236863843815926,0.9463965701935959
19,0.9470668873097335,-10.880029441833678,0.9195534306413041,0.9212261633009631,0.999323718961711
20,0.9728136367207618,-10.885570872136261,0.8881448198836372,0.8930534210757992,0.763362314100876
21,0.862127343912496,-10.97379657682137,0.7588459375799135,0.7571883575517232,0.874392237063639
22,0.8825480586039433,-10.950359348061479,0.7538923108402602,0.7678466579698796,0.8573438916243097
23,1.016550593303564,-10.848023638637125,0.8205143092891458,0.8319437365611291,1.0266362643709497
24,0.8925018752266888,-10.920942965220227,0.8035129786026374,0.7781782628129468,0.9751803458265998
25,0.9152120539076525,-10.930083244440652,0.8392419914825663,0.8274394063626683,0.8539748517401814
26,0.900305800612756,-10.970492861237652,0.8428154709014499,0.8496810684447166,0.8132336674646142
27,0.8563812668975471,-11.001115569210016,0.7903155451643912,0.781932110032823,0.8804450390666366
28,1.0051065047065566,-10.846210781800394,0.9258886722805982,0.9276498478116944,0.9742748765692358
29,0.8595031086911947,-10.99110577840029,0.9421627479466622,0.8733803215849297,0.8816704336416633
30,1.0032523962364692,-10.852246357400027,0.8622275853695681,0.8398458561897554,0.9896069459542213
31,0.9931989629814322,-10.829129001969045,0.7811878882874204,0.8016132978499486,0.9064758560635435
