,Rand,Trace,KFCV,SPCV,Test
0,2.352416859976189,2.867994173581262,1.3383590327591812,2.4536921240073886,3.149332762907644
1,2.31154496110344,2.7328527487509566,1.2111481551906143,2.302987956817194,2.793410650630911
2,2.8226525797724262,3.987431737565605,1.364423731225325,1.841530778205973,2.2802622724803245
3,1.7142737813108655,1.2648041767433948,1.5495300848231304,2.1074193460084216,2.7755735394016905
4,6.28246351814361,2.636721152666423,1.7404581619024366,2.370243711453475,2.7021990560204845
5,2.706461209329073,2.322659876891441,1.3586550213093158,2.4451181617986912,2.7478935317489386
6,2.418715088101316,3.2132172238738974,1.4147702962512216,1.740128672220472,3.676471128780017
7,3.858875363504198,3.630117571695922,1.4243625272189708,2.3637440631785096,3.1647868344688996
8,2.622121536947337,2.61515475712618,1.2632287721295632,1.756884139634859,4.542895711659882
9,2.3920594899491205,3.037647072442337,1.4532073242986592,2.1066158419482166,3.9713133029702856
10,2.7287209630797764,2.4946976837089845,1.4674852414686999,1.955082024848472,2.348956616581605
11,3.421119445818917,2.646910454144018,1.4395180339036808,2.0480239872424635,2.5244227899110854
12,3.408720740580781,1.472506878137647,1.515666279876646,2.2306372123655285,2.9455881572856737
13,2.557359487765441,2.1747785528227337,1.5510063578888953,2.505784575530409,3.752775579234759
14,2.2211517505171297,2.992441926104222,1.3569929902057543,2.23112355462205,2.8828666327592534
15,3.1834957822545684,5.017890173794523,1.4979016104796579,2.081719572976561,2.2281940181384776
16,3.2639858573603147,2.9804593405050106,1.481395384273556,3.18378748087288,2.729307471737824
17,3.818360668075451,2.7769085643314453,1.3940125837111244,1.7149130297898547,3.437449986454805
18,3.937367751235593,2.4587591051201834,1.538371271488161,2.225690537269284,2.9902371769901857
19,2.9521343625251015,2.7230976999439056,1.5904392909612066,2.2251985385360564,4.142027493741932
20,2.7083870702423685,2.3254074316094595,1.4802658930589205,1.9913357550462323,4.098113849404762
21,3.439218990569977,2.1388841332307775,1.4333908921724743,1.6292473369028904,2.234416781877654
22,5.306007255397664,5.258604386200366,1.4461478417575386,2.232416608993103,2.3005417937647983
23,2.5789574125042436,1.769049735156626,1.3534066171785069,1.6554709059795072,2.9149635298248993
24,6.276386953720147,2.406639903212603,1.4822400065015504,2.311928870299925,2.4965997024525413
25,3.995320851504265,2.2234590435675976,1.350462792427052,1.9874209899579687,2.996991569101769
26,2.3015774431353826,2.3796522996901404,1.3246621577973294,1.4797849449617804,3.0355950615519434
27,3.2619426846635045,1.8410785268940102,1.4270866729048872,1.9636616645171319,7.699432296193344
28,3.420840160787246,3.5038912267821676,1.392925799789091,1.7345494926101683,4.018253418901196
29,2.8610771007388576,2.7310127941551667,1.3916796542958496,1.8302717923877168,2.565256858006449
30,2.9279085745365614,3.0685614184185677,1.331824257605709,2.0889738424496205,2.5382933197884756
31,3.125446381991272,2.2353760063108963,1.4731634564289502,2.326286012930578,2.390260064382672
32,2.4266645912593785,3.970046804743685,1.398366119577322,2.578333526084129,2.6517495172020977
33,3.267354370315419,2.7398789583086876,1.4316040224308924,2.4575215334330585,3.68145273968394
34,3.8461463926796604,1.6625530747236021,1.4735879212271414,2.2171163421686098,2.6748581334946033
35,3.171587506721882,1.6945704588934607,1.5686196624715047,2.2259049979284278,2.575178819406217
36,2.6670216662933752,3.906889866617744,1.6106341845955474,2.05941266587032,2.1078038446681004
37,1.9926276907920888,2.6775879692013773,1.489018775300388,2.182256913319987,2.12870772924333
38,2.3450590028919134,2.0038131522455953,1.5762329192627793,2.1053195036997705,2.15770773520264
39,3.402554208854533,3.5286978727469966,1.3048184336496829,1.7544273354521132,2.6193945329942903
40,1.5173810295867498,2.0580714357292895,1.4160520648987944,1.6730494154682884,2.2681667025412806
41,2.6755488322053465,3.321604229049795,1.230091667840502,1.920430360181975,2.1146300170115033
42,3.8323183402390457,3.2602563732621817,1.407167840008897,2.000112765403876,2.7930626138716534
43,3.196903844152756,2.5911558513197144,1.323797043076144,2.461262192390433,3.6135306540873997
44,2.6238556859661006,1.9478167965681636,1.5448926871277995,1.9607425720384941,2.1536879229303296
45,3.6880288834272292,3.0944029406289695,1.292619483255097,2.5522044602031198,2.5263945293021517
46,2.3785731450896344,1.9852779149568647,1.437176159593432,2.5119919305457676,2.6840772524488385
47,2.347469631062212,2.988361116952802,1.4069042693639884,2.2136956338110223,2.542608559523928
48,3.1752330099019295,2.541421441633427,1.555783444864051,2.3369337461341044,3.1944847642253
49,2.759334597263677,3.54540884127524,1.3486037787349832,1.7988990132008706,2.8749896833891047
