,VRF,RF_FR,BF_WR,BF_FR
0,36.08891167813184,56.458059143166466,37.12483538787392,57.719193231382775
1,31.990852690187488,29.32365532768012,33.69835094574493,43.98610590033505
2,34.192256443975296,44.161251714753256,37.563966651149656,65.99287546923767
3,26.043253018591685,50.491561587109175,26.722980566884274,31.66480093195079
4,29.663328480465555,34.489966119592715,28.872808799141715,47.481239486143636
5,38.96980226139095,48.382220024716574,38.78748876468719,40.00126085196975
6,22.086873877606518,78.26794499022446,26.38663154465201,49.30632359876488
7,26.728559863849085,47.25849120679596,25.128718991694196,47.38892769863301
8,32.76004186946366,39.15138160746768,29.873685183566863,45.56500785295642
9,29.912896602398444,59.72766281121688,27.499973979392127,40.77020682727954
10,26.739345908715414,25.77560946288653,28.621921881578224,44.95433778918967
11,33.28214473891326,57.53140827992575,30.89159249985441,51.11112621371047
12,30.07017091011752,33.75925303391183,29.065661523671153,87.83893985308066
13,33.470198393241326,33.920464600821006,32.73330077071934,67.3568239926207
14,32.778037346542156,41.025812761887906,37.04599966518746,37.48210903097528
15,36.71421404847893,40.084001710380136,35.551584890790714,43.70586789028168
16,28.62217373823836,33.394695642651456,26.365989664260685,32.82400974559831
17,31.753540680954746,28.912183727375538,34.500301837714,30.576927778187436
18,19.33003528712906,38.26176974664597,21.763799102649923,21.55378658644691
19,31.84266420143984,48.85122043702156,28.880249429024534,37.866572056496445
20,31.031215139832167,38.85284823777579,31.94296793947972,41.7198771164869
21,35.52611427383586,65.15285089444352,31.016082693184494,42.48490168229522
22,32.731717928166944,59.505000906737806,33.7731192695311,73.73685159121953
23,34.67429555077081,34.754432147227156,34.98148148938398,44.89560888345658
24,23.999550674068207,26.04438548667202,25.702233166777077,47.08100374344186
25,31.634303377387372,38.74419273783005,35.28554699072097,88.88847923177589
26,21.991833904570225,33.36643706645833,22.227119234040934,58.780092394288765
27,33.23801458051,44.96202789954593,33.23883476560369,40.3968126819866
28,39.84670287204085,32.368874829941106,40.75552933938442,39.565613213330266
29,31.17426773163506,45.73185671089463,30.099384009723526,39.04609400046087
30,21.707375303419,30.878899946687742,22.18307532251706,25.55384235400711
31,26.09518699005423,78.67599932975335,34.771742587329236,44.96992356805224
32,28.073314903409855,37.11637891348361,27.316778251091456,43.491291001099455
33,28.55964155294295,27.29135255660106,29.784001060927952,56.445812952657036
34,37.94336675360958,36.7543732028014,35.584234186916575,49.438313602192665
35,29.61372919833564,30.959855649575015,27.35476497444363,52.121281389255174
36,25.045539554595354,32.6191977100773,24.02189687758114,44.71411200648488
37,33.66439517703313,54.15893943689617,28.192736349100915,84.29703942113596
38,31.238256410616984,31.60686482119921,27.475057091597613,33.3551088269229
39,28.77227650175083,36.301871261925754,29.77619128690698,38.23835677479151
40,27.381685628678184,34.91760346076735,30.551728764248896,56.187938873395694
41,32.68386059546753,76.66612044526605,31.87375507910795,44.5878226748419
42,27.022250682227725,89.04518550294824,27.594998510002757,40.60333118586494
43,41.35318757453429,48.299462621644956,41.364943534797995,53.775730898910176
44,38.06188683362073,53.74027588801958,38.74825070447103,36.112174476381604
45,31.520086223577138,64.67443470488351,34.566347695895416,70.0634821735252
46,27.845436903478664,30.48820553965164,25.787043835233042,40.947473083585955
47,29.68592885253513,42.97299283119072,27.847803357682153,59.683648577191214
48,36.49443051034586,57.01580353347199,30.60914285172985,42.36730075090095
49,25.21350039546116,33.840826573680914,24.73367525870206,38.404396295191546
