,VRF,RF_FR,BF_WR,BF_FR,BFI_FR
0,16.764099426787215,35.52740180197056,18.1007119833786,34.45935717880743,34.27720629303421
1,20.001913174243764,17.096055946129177,26.682435041729317,21.720699530823726,26.072482563924225
2,16.091839220418162,30.41945064740306,25.94579513528198,29.492260218277075,31.450182952998848
3,20.098012792678976,27.4401847144722,25.577936654766386,23.99298684226758,24.29779255858934
4,24.985935013970234,25.307693392520907,34.91145760960013,18.761413934136964,28.969496214520127
5,22.09920115477732,21.03003052849552,31.165180419674847,34.5613989045652,19.783270132003874
6,19.047664675724292,53.715685202191274,27.009220821084465,29.20792329469683,23.26706589492318
7,15.92616671909771,27.450103750169433,26.542275448309848,37.40380670893564,31.754650861796186
8,20.446772148659168,26.978849591224233,20.33852003392712,29.68260268622399,26.065063714095373
9,20.566146251749146,24.510850090062586,24.992237802440894,27.22639700787523,18.433652303451296
10,16.004796436743902,35.23985330906677,24.08811810213251,21.912867427228946,74.630354111136
11,32.8309912422662,43.860069062985225,44.5783419857829,31.38397698196899,29.42868355592735
12,19.064434916469075,30.099511489254034,27.537222598740136,25.104011473994653,30.486392127123054
13,17.163842672646343,53.75407978954495,19.32539730942295,29.392890721529675,27.08494406077941
14,19.9778460979177,48.462940615451586,26.61780707113533,33.798009358949145,75.114941361079
15,18.733525442618284,33.84456332101007,23.874275359171012,40.10450768529979,45.70600495039484
16,20.979123886194508,49.30152287270511,28.692088020820734,21.916860764412082,31.625758650802055
17,22.416697334175076,33.212845404970956,26.6085483748713,27.647462323402646,45.94194373483054
18,28.201453560385808,37.06741157180447,31.244799497621003,24.700697497131372,31.736768606946992
19,21.003701821660332,19.427047187819042,20.292799698598547,30.906864798226298,22.521359734798292
20,31.69249367247132,63.82018847210938,40.25396839040216,29.0799074186481,31.977184421754544
21,20.5058001936718,54.36745199980105,24.632011442525794,15.575193656038396,27.655197131462675
22,13.319738901852713,20.44470277661004,18.811273752821982,13.164039114015813,19.73257207893096
23,22.041430356210476,33.710823803186145,29.994164268191525,42.055959243688896,30.413309826045722
24,29.216600238749297,45.62986834835539,35.21663536486977,23.158887855400856,58.82843466235705
25,23.298152642546018,29.900837243407334,26.201378527988947,28.485404299719487,40.04692140457054
26,18.142872842816136,22.00301718677908,23.84721326398392,21.44777718610175,41.96856071590716
27,15.901794877695693,22.231455637518664,20.196165177315333,29.38843772560944,36.68090921304582
28,24.420910582686968,26.468829840996303,26.181337258318855,31.336716227736005,36.45657336395714
29,19.079074433507287,22.082408815233528,27.261035176370427,27.424737909866195,33.65438285491435
30,23.551478194212947,22.96350841731935,30.652950994294855,24.700070301996647,24.112310850780013
31,21.345314609583276,32.81057532303919,24.75564590069262,26.608112144829796,30.56606906502404
32,24.918717759441275,43.71679574189532,25.44916053189506,28.998133202954573,41.61217775794366
33,27.833017532265337,30.596896148407154,32.70800843011903,21.07469115973445,70.27437548073674
34,24.51166580986871,32.34084687493494,31.404780429063646,35.07080520350213,32.524687186216724
35,19.56347122080673,30.614954368008796,28.966105128455087,23.539932102140263,30.864797153819904
36,17.356135225263383,16.419346722992856,18.57543193491575,23.482360168094495,14.924148252907946
37,23.716413273333796,27.863287338714557,27.744566263498864,23.67227219483929,16.06777860826422
38,20.060695094262723,51.94168581942671,22.832972885905647,22.83913391100212,34.89291176350766
39,22.759630375879418,20.240168563614535,33.91835956204398,35.13360945059696,23.920707825935377
40,27.646342034005297,25.535932439301572,37.60214370873946,32.80192486377785,35.45481200634894
41,19.024879425133975,36.02699541190937,27.892358918350947,25.2925883638465,23.905286909622316
42,28.772972823414708,33.01529521250574,35.78741800069161,35.62862928243745,53.21862683705782
43,21.63320923590233,38.97054064144801,24.51264753054355,56.3764030248572,44.903025028488635
44,20.39700058559931,33.87468201445863,22.99821356692426,60.24979023970427,49.6580394098697
45,14.659690471394466,25.417340628610845,22.516635816399106,50.54099817290483,21.984958151691842
46,30.757897486999642,40.89572427387395,29.421266066554274,42.745634416877984,39.015741292322694
47,23.93957737437719,40.458037620278354,24.41816574572758,34.08338423961971,35.0534298434502
48,21.974639633197494,25.708713137505256,25.935014702468944,20.279642245918943,36.50716986973932
49,16.363356414702434,28.031679264237077,19.106716742095085,20.767347386038892,27.099780836403568
